web-scraper-order,web-scraper-start-url,cars,cars-href,price,carburant,Ville,group one,boite,puissance
"1679937091-1065","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon6109 000 DHbelle fiat tipo 2020Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/belle_fiat_tipo_2020_51172452.htm","109 000 DH","Diesel","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""TIPO""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Année-Modèle""},{""group one"":""2020""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Kilométrage""},{""group one"":""70 000 - 74 999""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Marque""},{""group one"":""Fiat""}]","Diesel","Manuelle"
"1679937093-1066","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon798 000 DHbelle peugeot tepee Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/belle_peugeot_tepee__51385182.htm","98 000 DH","6 CV","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Berlingo""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Année-Modèle""},{""group one"":""2018""},{""group one"":""Kilométrage""},{""group one"":""100 000 - 109 999""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""Marque""},{""group one"":""Citroen""},{""group one"":""Origine""},{""group one"":""WW au Maroc""}]","6 CV","Diesel"
"1679937096-1067","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon688 000 DHCitroen c3Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/Citroen_c3_51729211.htm","88 000 DH","Diesel","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""C3""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Kilométrage""},{""group one"":""100 000 - 109 999""},{""group one"":""Marque""},{""group one"":""Citroen""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Nombre de portes""},{""group one"":""5""}]","Diesel","6 CV"
"1679937098-1068","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon8360 000 DHMercedes c220Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconMeknès","https://www.avito.ma/fr/mekn%C3%A8s/voitures/Mercedes_c220_51958319.htm","360 000 DH","Diesel","Meknès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Classe C""},{""group one"":""Origine""},{""group one"":""Dédouanée""},{""group one"":""Marque""},{""group one"":""Mercedes-Benz""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""Kilométrage""},{""group one"":""50 000 - 54 999""},{""group one"":""État""},{""group one"":""Excellent""},{""group one"":""Nombre de portes""},{""group one"":""5""}]","Diesel","9 CV"
"1679937101-1069","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon4178 000 DHbelle ford transit Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/belle_ford_transit__52112846.htm","178 000 DH","Diesel","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Transit""},{""group one"":""Année-Modèle""},{""group one"":""2017""},{""group one"":""Marque""},{""group one"":""Ford""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Kilométrage""},{""group one"":""160 000 - 169 999""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Origine""},{""group one"":""WW au Maroc""}]","Diesel","10 CV"
"1679937104-1070","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon7160 000 DHford transitVoitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/ford_transit_52171721.htm","160 000 DH","Diesel","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Transit""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Kilométrage""},{""group one"":""160 000 - 169 999""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Marque""},{""group one"":""Ford""}]","Diesel","10 CV"
"1679937106-1071","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon8160 000 DHOpel corsa Diesel 2020Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca, Aïn Chock","https://www.avito.ma/fr/ain_chock/voitures/Opel_corsa_Diesel_2020_52502493.htm","160 000 DH","Manuelle","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Secteur""},{""group one"":""Aïn Chock""},{""group one"":""Modèle""},{""group one"":""Corsa""},{""group one"":""Marque""},{""group one"":""Opel""},{""group one"":""Kilométrage""},{""group one"":""40 000 - 44 999""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""Année-Modèle""},{""group one"":""2020""}]","Manuelle","6 CV"
"1679937108-1072","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon8153 000 DHFord transit Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/Ford_transit__52528063.htm","153 000 DH","Manuelle","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Transit""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""Marque""},{""group one"":""Ford""},{""group one"":""Année-Modèle""},{""group one"":""2019""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Kilométrage""},{""group one"":""120 000 - 129 999""},{""group one"":""État""},{""group one"":""Très bon""}]","Manuelle","8 CV"
"1679937112-1073","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon8149 000 DHSkoda octavia Diesel 2016Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconRabat, Autre secteur","https://www.avito.ma/fr/autre_secteur/voitures/Skoda_octavia_Diesel_2016_52557953.htm","149 000 DH","Manuelle","Rabat","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Secteur""},{""group one"":""Autre secteur""},{""group one"":""Modèle""},{""group one"":""Octavia""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Marque""},{""group one"":""Skoda""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""Kilométrage""},{""group one"":""95 000 - 99 999""},{""group one"":""État""},{""group one"":""Très bon""}]","Manuelle","8 CV"
"1679937114-1074","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=069&price_min=0","Camera Icon4103 000 DHDacia Dokker frigo Voitures d'occasionTimeFill Iconil y a 21 heuresMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/Dacia_Dokker_frigo__51810622.htm","103 000 DH","6 CV","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Dokker Van""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Année-Modèle""},{""group one"":""2018""},{""group one"":""État""},{""group one"":""Excellent""},{""group one"":""Kilométrage""},{""group one"":""80 000 - 84 999""},{""group one"":""Nombre de portes""},{""group one"":""3""},{""group one"":""Marque""},{""group one"":""Dacia""},{""group one"":""Origine""},{""group one"":""WW au Maroc""}]","6 CV","Manuelle"
